# base64_utf8_original	base64_utf8_russian
QWxs	0JLRgdC1
SGVyZCBvciBwYWNpZnkgdGhlIHZlcm1pbiB3aXRob3V0IGtpbGxpbmcgdGhlbSwgd2hpY2ggc2V0cyB1cCB0aGUgbGl2ZS1jYXB0dXJlIHByZW1pdW0uIEEgdGFtZWQgY29tYmF0IGFuaW1hbCBpbiB0aGUgY2FyYXZhbiB1bmxvY2tzIGEgaGVyZGluZyByb3V0ZS4=	0KHQvtCx0LjRgNCw0LnRgtC1INC40LvQuCDRg9GB0LzQuNGA0Y/QudGC0LUg0LLRgNC10LTQuNGC0LXQu9C10LksINC90LUg0YPQsdC40LLQsNGPINC40YUsINGH0YLQviDRg9GB0YLQsNC90LDQstC70LjQstCw0LXRgiDQv9GA0LXQvNC40Y4g0LfQsCDQv9C+0LjQvNC60YMg0LbQuNCy0YvRhSDRgdGD0YnQtdGB0YLQsi4g0J/RgNC40YDRg9GH0LXQvdC90L7QtSDQsdC+0LXQstC+0LUg0LbQuNCy0L7RgtC90L7QtSDQsiDQutCw0YDQsNCy0LDQvdC1INC+0YLQutGA0YvQstCw0LXRgiDQv9Cw0YHRgtGD0YjQtdGB0LrQuNC5INC80LDRgNGI0YDRg9GCLg==
VGhlIHJpdmFsIGNyZXcgaXMgZG93biBvciBkcml2ZW4gYmFjayBvdXQgdGhlIGZhciBsb2NrLCB0aGUgaHVsbCBpcyBpbnRhY3QsIGFuZCB0aGUgd2VpZ2h0bGVzcyBjb3JlIGlzIHRoZSBjcmV3J3MuIEJlcnRoIGNvbnRyb2wgaXMgdGhlIGNsaWVudCdzIG5vdy4=	0K3QutC40L/QsNC2INGB0L7Qv9C10YDQvdC40LrQsCDRgdCx0LjRgiDQuNC70Lgg0L7RgtCx0YDQvtGI0LXQvSDQt9CwINC00LDQu9GM0L3QuNC5INGI0LvRjtC3LCDQutC+0YDQv9GD0YEg0YbQtdC7LCDQvdC10LLQtdGB0L7QvNC+0LUg0Y/QtNGA0L4g4oCL4oCL0L/RgNC40L3QsNC00LvQtdC20LjRgiDRjdC60LjQv9Cw0LbRgy4g0JrQvtC90YLRgNC+0LvRjCDQv9GA0LjRh9Cw0LvQsCDRgtC10L/QtdGA0Ywg0L/RgNC40L3QsNC00LvQtdC20LjRgiDQutC70LjQtdC90YLRgy4=
VGhyZWUgd2F5cyB0byBzcGVuZCB3aGF0IHRoZSBjcmV3IG5vdyBrbm93czogaGFuZCB0aGUgY2hlYXQgdG8gdGhlIGhvdXNlIGZvciB0aGUgY2xlYW4gZmVlLCBzcXVlZXplIGhpbSB0byBzdGF5IHF1aWV0LCBvciBwb2NrZXQgdGhlIG1ldGhvZCBhbmQgd2Fsay4=	0KLRgNC4INGB0L/QvtGB0L7QsdCwINC/0L7RgtGA0LDRgtC40YLRjCDRgtC+LCDRh9GC0L4g0YLQtdC/0LXRgNGMINC30L3QsNC10YIg0LrQvtC80LDQvdC00LA6INC/0LXRgNC10LTQsNGC0Ywg0YfQuNGCINCyINC00L7QvCDQt9CwINGH0LjRgdGC0YPRjiDQv9C70LDRgtGDLCDQt9Cw0YHRgtCw0LLQuNGC0Ywg0LXQs9C+INC80L7Qu9GH0LDRgtGMINC40LvQuCDQv9C+0LvQvtC20LjRgtGMINC80LXRgtC+0LQg0LIg0LrQsNGA0LzQsNC9INC4INGD0LnRgtC4Lg==
QSBndWVzdCBsaXN0LCBhIGRvb3JtYW4gd2l0aCBhIHRhYmxldCwgYW5kIGEgcGFydHkgYWxyZWFkeSBsb3VkIGluc2lkZS4gVGhyZWUgd2F5cyBwYXN0IHRoZSBkb29yLCBwbHVzIHRoZSBvcHRpb24gdG8gc3RvcCBwcmV0ZW5kaW5nIGFuZCBtYWtlIGEgc2NlbmUu	0KHQv9C40YHQvtC6INCz0L7RgdGC0LXQuSwg0YjQstC10LnRhtCw0YAg0YEg0L/Qu9Cw0L3RiNC10YLQvtC8INC4INGD0LbQtSDRiNGD0LzQvdCw0Y8g0LLQtdGH0LXRgNC40L3QutCwINCy0L3Rg9GC0YDQuC4g0KLRgNC4INC/0YPRgtC4INC30LAg0LTQstC10YDRjCDQv9C70Y7RgSDQstC+0LfQvNC+0LbQvdC+0YHRgtGMINC/0LXRgNC10YHRgtCw0YLRjCDQv9GA0LjRgtCy0L7RgNGP0YLRjNGB0Y8g0Lgg0YPRgdGC0YDQvtC40YLRjCDRgdGG0LXQvdGDLg==
VGhlIGNyZXcgd3JvdGUgdGhlIHBhd24gb2ZmLiBObyBzaWx2ZXIgc3BlbnQsIG5vIGZpZ2h0LCBidXQgdGhlIHBhd24gaXMgZ29uZSBmb3IgZ29vZCBhbmQgdGhlIGNyZXcgY2FycmllcyB0aGUgd2VpZ2h0IG9mIGhhdmluZyBsZWZ0IG9uZSBvZiB0aGVpciBvd24u	0K3QutC40L/QsNC2INGB0L/QuNGB0LDQuyDQv9C10YjQutGDLiDQndC4INGB0LXRgNC10LHRgNCwINC90LUg0L/QvtGC0YDQsNGH0LXQvdC+LCDQvdC4INCx0L7RgNGM0LHRiywg0L3QviDQv9C10YjQutCwINGD0YjQu9CwINC90LDQstGB0LXQs9C00LAsINC4INC60L7QvNCw0L3QtNCwINC90LXRgdC10YIg0L3QsCDRgdC10LHQtSDQsdGA0LXQvNGPINGC0L7Qs9C+LCDRh9GC0L4g0L7RgdGC0LDQstC40LvQsCDQvtC00L3RgyDQuNC3INGB0LLQvtC40YUu
VGhlIGZ1bGwgbGlzdCBmaWxsZWQgd2l0aCBtaXhlZCBtZXRob2RzLiBGdWxsIHBheSBhbmQgYSBiaW9uaWMsIGFuZCBhdCBsZWFzdCBvbmUgbWFyayBpcyBzaG9ydCBhbiBhcm0gYW5kIGNhcnJ5aW5nIGEgZ3J1ZGdlIHRoYXQgZmluZHMgdGhlIGNyZXcgbGF0ZXIu	0J/QvtC70L3Ri9C5INGB0L/QuNGB0L7QuiDQt9Cw0L/QvtC70L3QtdC9INGB0LzQtdGI0LDQvdC90YvQvNC4INC80LXRgtC+0LTQsNC80LguINCf0L7Qu9C90LDRjyDQt9Cw0YDQv9C70LDRgtCwINC4INCx0LjQvtC90LjQutCwLCDQuCDQv9C+INC60YDQsNC50L3QtdC5INC80LXRgNC1INGDINC+0LTQvdC+0LPQviDQt9C90LDQutCwINC60L7RgNC+0YLQutCw0Y8g0YDRg9C60LAg0Lgg0LfQsNGC0LDQtdC90LAg0L7QsdC40LTQsCwg0LrQvtGC0L7RgNCw0Y8g0L/QvtC30LbQtSDQvdCw0YXQvtC00LjRgiDQutC+0LzQsNC90LTRgy4=
VGhlIGNvbGxlY3RvciBsaXZlZC4gSGUga25vd3Mgc29tZW9uZSB0cmllZCBhbmQgaGlyZXMgaHVudGVycyB0byBhbnN3ZXIgaXQuIE5vIHBheSwgYW5kIGEgcmV2ZW5nZS1zdHlsZSByYWlkIGZsYWcgdGhyb3VnaCB0aGUgZXhpc3RpbmcgcmV2ZW5nZSB0cmFja2VyLg==	0JrQvtC70LvQtdC60YbQuNC+0L3QtdGAINC20LjQuy4g0J7QvSDQt9C90LDQtdGCLCDRh9GC0L4g0LrRgtC+LdGC0L4g0L/Ri9GC0LDQu9GB0Y8sINC4INC90LDQvdC40LzQsNC10YIg0L7RhdC+0YLQvdC40LrQvtCyLCDRh9GC0L7QsdGLINC+0YLQstC10YLQuNGC0Ywg0L3QsCDRjdGC0L7RgiDQstC+0L/RgNC+0YEuINCd0LjQutCw0LrQvtC5INC+0L/Qu9Cw0YLRiyDQuCDRhNC70LDQsyDRgNC10LnQtNCwINCyINGB0YLQuNC70LUg0LzQtdGB0YLQuCDRh9C10YDQtdC3INGB0YPRidC10YHRgtCy0YPRjtGJ0LjQuSDRgtGA0LXQutC10YAg0LzQtdGB0YLQuC4=
VGhlIGNyZXcgYXJndWVkIHRoZSBwcmljZSB0byBhIGZyYWN0aW9uIG9mIHRoZSBkZW1hbmQgYW5kIGJvdWdodCB0aGUgcGF3biBiYWNrIGNoZWFwLiBCZXN0IGNsZWFuIG91dGNvbWU6IHRoZSBwYXduIGlzIGhvbWUgYW5kIHRoZSBwdXJzZSBiYXJlbHkgZmVsdCBpdC4=	0K3QutC40L/QsNC2INGB0L7Qs9C70LDRgdC+0LLQsNC7INGG0LXQvdGDLCDQutC+0YLQvtGA0LDRjyDQsdGL0LvQsCDQu9C40YjRjCDRh9Cw0YHRgtGM0Y4g0YHQv9GA0L7RgdCwLCDQuCDQstGL0LrRg9C/0LjQuyDQt9Cw0LrQu9Cw0LTQvdGD0Y4g0L7QsdGA0LDRgtC90L4g0L/QviDQtNC10YjQtdCy0LrQtS4g0JvRg9GH0YjQuNC5INGH0LjRgdGC0YvQuSDRgNC10LfRg9C70YzRgtCw0YI6INC/0LXRiNC60LAg0LTQvtC80LAsINCwINC60L7RiNC10LvQtdC6INC10LUg0L/QvtGH0YLQuCDQvdC1INC/0L7Rh9GD0LLRgdGC0LLQvtCy0LDQuy4=
VGhyZWUgd2F5cyB0aHJvdWdoIHRoZSBhaXJsb2NrLCBlYWNoIGEgZGlmZmVyZW50IHJpc2sgcHJvZmlsZS4gVGhlIGJyZWFjaCBpcyBmYXN0IGFuZCBhbHdheXMgbG91ZDsgc3RlYWx0aCBhbmQgdGFsayBjYW4ga2VlcCBpdCBxdWlldCBpZiB0aGUgY2hlY2tzIGxhbmQu	0KLRgNC4INC/0YPRgtC4INGH0LXRgNC10Lcg0YjQu9GO0LcsINC60LDQttC00YvQuSDQuNC3INC60L7RgtC+0YDRi9GFINC40LzQtdC10YIg0YHQstC+0Lkg0L/RgNC+0YTQuNC70Ywg0YDQuNGB0LrQsC4g0J3QsNGA0YPRiNC10L3QuNC1INC/0YDQvtC40YHRhdC+0LTQuNGCINCx0YvRgdGC0YDQviDQuCDQstGB0LXQs9C00LAg0LPRgNC+0LzQutC+OyDRgdC60YDRi9GC0L3QvtGB0YLRjCDQuCDRgNCw0LfQs9C+0LLQvtGA0Ysg0L/QvtC80L7Qs9GD0YIg0YHQvtGF0YDQsNC90LjRgtGMINC80L7Qu9GH0LDQvdC40LUsINC10YHQu9C4INC/0YDQvtCy0LXRgNC60Lgg0L/RgNC40LTRg9GC0YHRjyDQv9C+INC00YPRiNC1Lg==
SGFuZGVkIG92ZXIgc2VhbGVkLiBUaGUgZml4ZXIgaGFzIHRoZSB2aWN0aW0gYWxpdmUgYW5kIGNhbiBzdGFydCBhc2tpbmcgcXVlc3Rpb25zLiBGdWxsIG1vbmV5LiBUaGUgY3JpbWUgbG9yZCB3b3JrcyBvdXQgZmFzdCB3aG9zZSBjcmV3IGxpZnRlZCB0aGUgY2Fza2V0Lg==	0KHQtNCw0LvQuCDQsiDQt9Cw0L/QtdGH0LDRgtCw0L3QvdC+0Lwg0LLQuNC00LUuINCjINGE0LjQutGB0LXRgNCwINC20LXRgNGC0LLQsCDQttC40LLQsCwg0Lgg0L7QvSDQvNC+0LbQtdGCINC90LDRh9Cw0YLRjCDQt9Cw0LTQsNCy0LDRgtGMINCy0L7Qv9GA0L7RgdGLLiDQn9C+0LvQvdGL0LUg0LTQtdC90YzQs9C4LiDQmtGA0LjQvNC40L3QsNC70YzQvdGL0Lkg0LDQstGC0L7RgNC40YLQtdGCINCx0YvRgdGC0YDQviDQstGL0Y/RgdC90Y/QtdGCLCDRh9GM0Y8g0LrQvtC80LDQvdC00LAg0L/QvtC00L3Rj9C70LAg0LPRgNC+0LEu
VGhlIGNhc2UgaXMgYXQgdGhlIGJ1eWVyJ3Mgc3RhbGwgYW5kIHRoZSBjcmltZSBsb3JkJ3MgcGVvcGxlIGRpZCBub3QgbW92ZSBvbiB0aGUgY3Jldywgb3IgZGlkIG5vdCByZWFsaXplIHdoYXQgdGhleSB3ZXJlIGNhcnJ5aW5nLiBQcm9jZWVkIHRvIHRoZSBoYW5kb2ZmLg==	0JTQtdC70L4g0L3QsNGF0L7QtNC40YLRgdGPINC90LAg0L/RgNC40LvQsNCy0LrQtSDQv9C+0LrRg9C/0LDRgtC10LvRjywg0Lgg0LvRjtC00LggwqvQsNCy0YLQvtGA0LjRgtC10YLQsMK7INC90LUg0LTQstC40L3Rg9C70LjRgdGMINC90LAg0Y3QutC40L/QsNC2LCDQu9C40LHQviDQvdC1INC/0L7QvdGP0LvQuCwg0YfRgtC+INCy0LXQt9GD0YIuINCf0YDQuNGB0YLRg9C/0LDQtdC8INC6INC/0LXRgNC10LTQsNGH0LUu
QSBjb2xsZWN0aW9uIGZpcmVmaWdodCB3ZW50IHdyb25nIGluIHNvbWVvbmUncyBxdWFydGVycy4gQSBwYXduIGlzIGRvd25lZCBvciBjYXB0dXJlZCwgdGhlIGNocm9tZSBpcyB1bmNvbGxlY3RlZCwgYW5kIHRoZSBkb2MgcGF5cyBub3RoaW5nIGZvciBhbiBlbXB0eSBjYXNlLg==	0JIg0YfRjNC10Lkt0YLQviDQutCy0LDRgNGC0LjRgNC1INC/0YDQvtC40LfQvtGI0LvQsCDQutC+0LvQu9C10LrRgtC40LLQvdCw0Y8g0L/QtdGA0LXRgdGC0YDQtdC70LrQsC4g0J/QtdGI0LrQsCDRgdCx0LjRgtCwINC40LvQuCDQstC30Y/RgtCwLCDRhdGA0L7QvCDQvdC1INGB0L7QsdGA0LDQvSwg0LAg0LTQvtC6INC90LjRh9C10LPQviDQvdC1INC/0LvQsNGC0LjRgiDQt9CwINC/0YPRgdGC0L7QuSDRj9GJ0LjQui4=
VGhlIGRvc2UsIHRoZSBicmVhY2gsIHRoZSBzaG90IG9yIHRoZSBibGFkZSBsYW5kZWQgYW5kIG5vYm9keSBzYXcuIFRoZSBib2R5IHdpbGwgbm90IGJlIGZvdW5kIGZvciBhIHNoaWZ0LiBUaGlzIGlzIHRoZSBjbGVhbiBraWxsIHRoZSBmaXhlciBwYXlzIGEgYm9udXMgZm9yLg==	0JTQvtC30LAsINC/0YDQvtCx0L7QuNC90LAsINCy0YvRgdGC0YDQtdC7INC40LvQuCDQu9C10LfQstC40LUg0L/RgNC40LfQtdC80LvQuNC70LjRgdGMLCDQuCDQvdC40LrRgtC+INGN0YLQvtCz0L4g0L3QtSDQt9Cw0LzQtdGC0LjQuy4g0JfQsCDRgdC80LXQvdGDINGC0LXQu9C+INC90LUg0LHRg9C00LXRgiDQvdCw0LnQtNC10L3Qvi4g0K3RgtC+INGH0LjRgdGC0L7QtSDRg9Cx0LjQudGB0YLQstC+LCDQt9CwINC60L7RgtC+0YDQvtC1INGE0LjQutGB0LXRgCDQv9C70LDRgtC40YIg0LHQvtC90YPRgS4=
UG9zZSBhcyBhIHBvcnQgaW5zcGVjdG9yIG9yIGEgbGF0ZSBjYXJnbyB0cmFuc2ZlciB0byBnZXQgdGhlIGxvY2sgb3BlbmVkIGZyb20gaW5zaWRlLiBPcHBvc2VkIGJ5IHRoZSBib3N1bi4gRmFpbHVyZSBidXJucyB0aGUgcnVzZSBhbmQgdGhlIGJvYXJkaW5nIGdvZXMgbG91ZC4=	0J/RgNC40YLQstC+0YDQuNGC0LXRgdGMINC/0L7RgNGC0L7QstGL0Lwg0LjQvdGB0L/QtdC60YLQvtGA0L7QvCDQuNC70Lgg0L7Qv9C+0LfQtNCw0LLRiNC40Lwg0LPRgNGD0LfQvtC8LCDRh9GC0L7QsdGLINC+0YLQutGA0YvRgtGMINGI0LvRjtC3INC40LfQvdGD0YLRgNC4LiDQsdC+0YbQvNCw0L0g0YHQs9C+0YDQsNC10YIsINC4INCw0LHQvtGA0LTQsNC2INCz0YDQvtC80LrQuNC5Lg==
VGhlIGNyZXcgZ3JhYmJlZCBpdCBhbmQgcmFuIHdpdGhvdXQgbG9va2luZy4gQXMgZmFyIGFzIHRoZXkga25vdyBpdCBpcyBhIGJveCB0aGUgZml4ZXIgd2FudHMuIE9ubHkgdGhlIHN0cmFpZ2h0IGRlbGl2ZXJ5IGVuZGluZyBzdGF5cyBvcGVuIGF0IHRoZSBkZXN0aW5hdGlvbi4=	0K3QutC40L/QsNC2INGB0YXQstCw0YLQuNC7INC10LPQviDQuCDQv9C+0LHQtdC20LDQuywg0L3QtSDQs9C70Y/QtNGPLiDQndCw0YHQutC+0LvRjNC60L4g0L7QvdC4INC30L3QsNGO0YIsINGA0LXQvNC+0L3RgtC90LjQutGDINC90YPQttC90LAg0LjQvNC10L3QvdC+INGN0YLQsCDQutC+0YDQvtCx0LrQsC4g0JIg0L/Rg9C90LrRgtC1INC90LDQt9C90LDRh9C10L3QuNGPINC+0YHRgtCw0LXRgtGB0Y8g0L7RgtC60YDRi9GC0YvQvCDRgtC+0LvRjNC60L4g0LrQvtC90LXRhiDQv9GA0Y/QvNC+0Lkg0LTQvtGB0YLQsNCy0LrQuC4=
Rm9yIGVhY2ggbWFyaywgY2hvb3NlIGhvdyB0aGUgY2hyb21lIGNvbWVzIG9mZjogcGFpZCwgZm9yY2VkLCBvciBjdXQgb2ZmIHRoZSB1bndpbGxpbmcuIFRoZSBjcmV3J3MgbWFrZXVwIGdhdGVzIHRoZSBvcHRpb25zLCBhbmQgdGhlIGd1biBpcyBhbHdheXMgb25lIG9mIHRoZW0u	0JTQu9GPINC60LDQttC00L7QuSDQvtGC0LzQtdGC0LrQuCDQstGL0LHQuNGA0LDQudGC0LUsINC60LDQuiDRgdC90LjQvNCw0LXRgtGB0Y8g0YXRgNC+0Lw6INC/0LvQsNGC0L3Ri9C5LCDQv9GA0LjQvdGD0LTQuNGC0LXQu9GM0L3Ri9C5INC40LvQuCDQvtGC0YHQtdC60LDRjtGJ0LjQuSDQvdC10LbQtdC70LDRjtGJ0LXQs9C+LiDQodC+0YHRgtCw0LIg0Y3QutC40L/QsNC20LAg0L7RgtC60YDRi9Cy0LDQtdGCINC80L3QvtC20LXRgdGC0LLQviDQstCw0YDQuNCw0L3RgtC+0LIsINC4INC+0YDRg9C00LjQtSDQstGB0LXQs9C00LAg0Y/QstC70Y/QtdGC0YHRjyDQvtC00L3QuNC8INC40Lcg0L3QuNGFLg==
TG9zdCB0aGUgYnJpZGdlIGZpZ2h0IGFib2FyZCBhIHNoaXAgdGhhdCBpcyBub3QgdGhlIGNyZXcncy4gRHJhZ2dlZCBvZmYgdGhlaXIgb3duIGJvYXJkaW5nLCBjcml0aWNhbGx5IHdvdW5kZWQgb3IgY2FwdHVyZWQsIGFuZCBvbiBhIERlYWRseSBqb2IgYSBwYXduIGNhbiBkaWUu	0J/RgNC+0LjQs9GA0LDQuyDQsdC+0Lkg0L3QsCDQvNC+0YHRgtC40LrQtSDQvdCwINCx0L7RgNGC0YMg0LrQvtGA0LDQsdC70Y8sINC90LUg0L/RgNC40L3QsNC00LvQtdC20LDRidC10LPQviDRjdC60LjQv9Cw0LbRgy4g0JLRi9GC0LDRidC40LvQuCDQuNC3INGB0L7QsdGB0YLQstC10L3QvdC+0LPQviDQsNCx0L7RgNC00LDQttCwLCDRgtGP0LbQtdC70L4g0YDQsNC90LjQu9C4INC40LvQuCDQstC30Y/Qu9C4INCyINC/0LvQtdC9LCDQsCDQvdCwINGB0LzQtdGA0YLQtdC70YzQvdC+0Lwg0LfQsNC00LDQvdC40Lgg0L/QtdGI0LrQsCDQvNC+0LbQtdGCINGD0LzQtdGA0LXRgtGMLg==
U2hlIHBheXMgcGVyIHBhcnQgYW5kIGRvZXMgbm90IGFzayBob3cuIFdpdGggdGhlIGtpdCBhbHJlYWR5IG91dCBhbmQgYSBjaHJvbWVkIGNyZXcgdGhhdCBkb2VzIG5vdCBmbGluY2gsIHRoZSBjcmV3IGNhbiBzdG9wIGF0IHRoZSBsaXN0LCBvciBrZWVwIGdvaW5nIHBhc3QgaXQu	0J7QvdCwINC/0LvQsNGC0LjRgiDQt9CwINGH0LDRgdGC0Ywg0Lgg0L3QtSDRgdC/0YDQsNGI0LjQstCw0LXRgiwg0LrQsNC6LiDQmNC80LXRjyDRg9C20LUg0LPQvtGC0L7QstGL0Lkg0LrQvtC80L/Qu9C10LrRgiDQuCDRhdGA0L7QvNC40YDQvtCy0LDQvdC90YvQuSDRjdC60LjQv9Cw0LYsINC60L7RgtC+0YDRi9C5INC90LUg0LLQt9C00YDQsNCz0LjQstCw0LXRgiwg0Y3QutC40L/QsNC2INC80L7QttC10YIg0L7RgdGC0LDQvdC+0LLQuNGC0YzRgdGPINC90LAg0YHQv9C40YHQutC1INC40LvQuCDQv9GA0L7QtNC+0LvQttC40YLRjCDQtNCy0LjQttC10L3QuNC1INC80LjQvNC+INC90LXQs9C+Lg==
VGhlIGJyZWFrLW91dCB3ZW50IHRoZSB3cm9uZyB3YXkuIFRoZSBjcmV3IGlzIGRyaXZlbiBvZmYgd291bmRlZCBhbmQgdGhlIGhlbGQgcGF3biBpcyBzdGlsbCBpbiB0aGUgY2FwdG9yJ3MgaGFuZHMsIG9yIHdvcnNlIGlmIHRoZSBjYXB0b3Igd2FzIHRoZSBraWxsaW5nIGtpbmQu	0J/RgNC+0YDRi9CyINC/0L7RiNC10Lsg0L3QtSDQv9C+INGC0L7QvNGDINC/0YPRgtC4LiDQrdC60LjQv9Cw0LYg0LjQt9Cz0L3QsNC9INGA0LDQvdC10L3Ri9C8LCDQsCDRg9C00LXRgNC20LjQstCw0LXQvNCw0Y8g0L/QtdGI0LrQsCDQstGB0LUg0LXRidC1INC90LDRhdC+0LTQuNGC0YHRjyDQsiDRgNGD0LrQsNGFINC/0L7RhdC40YLQuNGC0LXQu9GPINC40LvQuCwg0YfRgtC+INC10YnQtSDRhdGD0LbQtSwg0LXRgdC70Lgg0L/QvtGF0LjRgtC40YLQtdC70Ywg0LHRi9C7INGD0LHQuNC50YbQtdC5Lg==
U3BhcmtzIHJhaW4gZnJvbSB0aGUgY2F0d2Fsa3MgYXMgZW5naW5lZXJzIGluIG9pbC1zdGFpbmVkIHZhY3N1aXRzIHdvcmsgb24gYSBoYWxmLXN0cmlwcGVkIGxpZ2h0IGNyYWZ0LiBUaGUgY2xhbmcgb2YgaW1wYWN0IHdyZW5jaGVzIGlzIGVjaG9pbmcgb2ZmIHRoZSBidWxraGVhZHMu	0KEg0L/QvtC00LjRg9C80L7QsiDQuNGB0LrRgNC40YLRgdGPINC00L7QttC00YwsINC/0L7QutCwINC40L3QttC10L3QtdGA0Ysg0LIg0LfQsNC70LjRgtGL0YUg0LzQsNGB0LvQvtC8INCy0LDQutGD0YPQvNC90YvRhSDQutC+0YHRgtGO0LzQsNGFINGA0LDQsdC+0YLQsNGO0YIg0L3QsNC0INC/0L7Qu9GD0YDQsNC30LTQtdGC0YvQvCDQu9C10LPQutC40Lwg0LrQvtGA0LDQsdC70LXQvC4g0J7RgiDQv9C10YDQtdCx0L7RgNC+0Log0Y3RhdC+0Lwg0L7RgtC00LDQtdGC0YHRjyDQu9GP0LfQsyDQs9Cw0LnQutC+0LLQtdGA0YLQvtCyLg==
VGhlIGNyZXcgcHVsbGVkIHRoZSBwYXduIG91dCBieSBzdGVhbHRoIG9yIGZvcmNlIGFuZCBwYWlkIG5vdGhpbmcgaW4gc2lsdmVyLiBUaGV5IHBhaWQgaW4gaGVhdCBpbnN0ZWFkOiB0aGUgY2FwdG9yIHdhbnRzIHRoZW0gbm93LCBhbmQgYSBsb3VkIHJlc2N1ZSBsZWF2ZXMgd291bmRzLg==	0JrQvtC80LDQvdC00LAg0YLQsNC50LrQvtC8INC40LvQuCDRgdC40LvQvtC5INCy0YvRgtCw0YnQuNC70LAg0L/QtdGI0LrRgyDQuCDQvdC40YfQtdCz0L4g0L3QtSDQt9Cw0L/Qu9Cw0YLQuNC70LAg0YHQtdGA0LXQsdGA0L7QvC4g0JLQvNC10YHRgtC+INGN0YLQvtCz0L4g0L7QvdC4INC/0L7Qv9C70LDRgtC40LvQuNGB0Ywg0LbQsNGA0L7QuTog0L7QvdC4INC90YPQttC90Ysg0L/QvtGF0LjRgtC40YLQtdC70Y4g0YHQtdC50YfQsNGBLCDQsCDQs9GA0L7QvNC60L7QtSDRgdC/0LDRgdC10L3QuNC1INC+0YHRgtCw0LLQu9GP0LXRgiDRgNCw0L3Riy4=
QSBtb25pdG9yIGJsaW5rcyB0aHJvdWdoIGV4cGlyZWQgbGlzdGluZ3M6ICdObyBuZXcgam9icyB0b2RheScuIENyZXdzIGFyZSBmb3JjZWQgdG8gc2VlayBvdXQgbG9jYWwgZml4ZXJzLCB0YWtlIG9uIG9uZS10aW1lIGNvbnRyYWN0cywgb3IgaHVudCBkb3duIHRoZWlyIG93biBsZWFkcy4=	0JzQvtC90LjRgtC+0YAg0LzQuNCz0LDQtdGCLCDQv9GA0L7RgdC80LDRgtGA0LjQstCw0Y8g0L/RgNC+0YHRgNC+0YfQtdC90L3Ri9C1INGB0L/QuNGB0LrQuDogwqvQodC10LPQvtC00L3RjyDQvdC+0LLRi9GFINCy0LDQutCw0L3RgdC40Lkg0L3QtdGCwrsuINCR0YDQuNCz0LDQtNGLINCy0YvQvdGD0LbQtNC10L3RiyDQuNGB0LrQsNGC0Ywg0LzQtdGB0YLQvdGL0YUg0L3QsNC70LDQtNGH0LjQutC+0LIsINC30LDQutC70Y7Rh9Cw0YLRjCDRgNCw0LfQvtCy0YvQtSDQutC+0L3RgtGA0LDQutGC0Ysg0LjQu9C4INC40YHQutCw0YLRjCDRgdC+0LHRgdGC0LLQtdC90L3Ri9GFINC/0L7RgtC10L3RhtC40LDQu9GM0L3Ri9GFINC60LvQuNC10L3RgtC+0LIu
VGhlIGNyZXcgcmVhZCB0aGUgbGlzdCwgdW5kZXJzdG9vZCBleGFjdGx5IHdoYXQgaXQgd2FzLCBhbmQgaGFuZGVkIHRoZSBraXQgYmFjayB1bnVzZWQuIE5vIG1vbmV5LCBhIGxpdHRsZSByZXNwZWN0LCBhbmQgYSBkb2Mgd2hvIG5ldmVyIG9mZmVycyB0aGVtIGJvZHkgd29yayBhZ2Fpbi4=	0K3QutC40L/QsNC2INC/0YDQvtGH0LjRgtCw0Lsg0YHQv9C40YHQvtC6LCDRgtC+0YfQvdC+INC/0L7QvdGP0LssINGH0YLQviDRjdGC0L4g0YLQsNC60L7QtSwg0Lgg0LLQtdGA0L3Rg9C7INC60L7QvNC/0LvQtdC60YIg0L3QtdC40YHQv9C+0LvRjNC30L7QstCw0L3QvdGL0LwuINCd0LjQutCw0LrQuNGFINC00LXQvdC10LMsINC90LXQvNC90L7Qs9C+INGD0LLQsNC20LXQvdC40Y8g0Lgg0LLRgNCw0YcsINC60L7RgtC+0YDRi9C5INCx0L7Qu9GM0YjQtSDQvdC40LrQvtCz0LTQsCDQvdC1INC/0YDQtdC00LvQvtC20LjRgiDQuNC8INGA0LDQsdC+0YLRgyDRgSDRgtC10LvQvtC8Lg==
